city,country,is_capital,population,lat,lon
Кейптаун,Южно-Африканская Республика,1,433688,-33.925,18.425
Кордова,Испания,0,325916,37.883333333,-4.766666666
Балтимор,Соединённые Штаты Америки,0,622104,39.286388888,-76.615
Хантингтон-Бич,Соединённые Штаты Америки,0,189992,33.692777777,-117.999722222
Портленд,Соединённые Штаты Америки,0,583776,45.516666666,-122.666666666
Индианаполис,Соединённые Штаты Америки,0,853173,39.767777777,-86.158055555
Новара,Италия,0,104284,45.45,8.616666666
Брешиа,Италия,0,197008,45.538888888,10.220280555
Монца,Италия,0,122728,45.584722222,9.273611111
Больцано,Италия,0,106951,46.5,11.35
Виченца,Италия,0,112408,45.55,11.55
Ливорно,Италия,0,159020,43.55,10.316666666
Анталья,Турция,0,1068099,36.9,30.683333333
Ковентри,Великобритания,0,362690,52.416666666,-1.516666666
Сиань,Китайская Народная Республика,0,5740000,34.266666666,108.9
Сиань,Китайская Народная Республика,0,5740000,34.25833,108.92861
Махачкала,Россия,0,592976,42.983333333,47.483333333
Грозный,Россия,0,291687,43.316666666,45.7
Ставрополь,Россия,0,433577,45.05,41.983333333
Владикавказ,Россия,0,306978,43.016666666,44.65
Нальчик,Россия,0,265162,43.483333333,43.616666666
Черкесск,Россия,0,123128,44.222222222,42.0575
Саратов,Россия,0,843460,51.533333333,46.0
Оренбург,Россия,0,564443,51.766666666,55.1
Саранск,Россия,0,314789,54.183333333,45.183333333
Киров,Россия,0,501468,58.6,49.65
Ижевск,Россия,0,646277,56.85,53.216666666
Йошкар-Ола,Россия,0,266675,56.632777777,47.895833333
Чебоксары,Россия,0,489498,56.133333333,47.25
Пенза,Россия,0,523726,53.2,45.0
Ульяновск,Россия,0,624518,54.316666666,48.366666666
Тюмень,Россия,0,744554,57.15,65.533333333
Барнаул,Россия,0,633301,53.356666666,83.787222222
Кызыл,Россия,0,116015,51.716666666,94.45
Кемерово,Россия,0,556920,55.333333333,86.066666666
Иркутск,Россия,0,623736,52.283333333,104.3
Якутск,Россия,0,307911,62.027222222,129.731944444
Улан-Удэ,Россия,0,431922,51.833333333,107.616666666
Благовещенск,Россия,0,224419,50.257777777,127.536388888
Варна,Болгария,0,366762,43.207777777,27.916944444
Бургас,Болгария,0,206371,42.5,27.466666666
Кейптаун,Южно-Африканская Республика,0,433688,-33.925,18.425
Дурбан,Южно-Африканская Республика,0,595061,-29.858333333,31.025
Дурбан,Южно-Африканская Республика,0,595061,-29.858333333,31.025
Кейптаун,Южно-Африканская Республика,0,433688,-33.925,18.425
Дурбан,Южно-Африканская Республика,0,595061,-29.858333333,31.025
Бухара,Узбекистан,0,272500,39.774722222,64.428611111
Аделаида,Австралия,0,1300000,-34.933333333,138.583333333
Лалитпур,Непал,0,220802,27.6833,85.3333
Лалитпур,Непал,0,220802,27.7,85.35
Мекка,Саудовская Аравия,0,1675368,21.4225,39.826111111
Мары,Туркмения,0,101000,37.6,61.833333333
Анкара,Турция,1,5270575,39.866666666,32.866666666
Аккра,Гана,1,2291352,5.6037,-0.187
Джакарта,Индонезия,1,9769000,-6.166666666,106.8
Манама,Бахрейн,1,157474,26.216666666,50.583055555
Белград,Сербия,1,1233796,44.816666666,20.466666666
Нджамена,Чад,1,1092066,12.116388888,15.072222222
Тегусигальпа,Гондурас,1,1126534,14.094166666,-87.206666666
Тегеран,Иран,1,8846782,35.7,51.416666666
Панама,Панама,1,880691,9.0,-79.5
Амман,Иордания,1,4995000,31.95,35.933333333
Манагуа,Никарагуа,1,1028808,12.15,-86.266666666
Дамаск,Сирия,1,1754000,33.513055555,36.291944444
Банги,Центральноафриканская Республика,1,734350,4.361388888,18.555277777
Ломе,Того,1,837437,6.131944444,1.222777777
Лусака,Замбия,1,2467467,-15.416666666,28.283333333
Хараре,Зимбабве,1,1606000,-17.829166666,31.052222222
Бужумбура,Бурунди,1,658859,-3.3825,29.361111111
Морони,Коморы,1,111329,-11.703611111,43.253611111
Браззавиль,Республика Конго,1,1827000,-4.266666666,15.283333333
Джибути,Джибути,1,623891,11.595,43.148055555
Малабо,Экваториальная Гвинея,1,187302,3.752407,8.775265
Асмэра,Эритрея,1,649000,15.333333333,38.916666666
Либревиль,Габон,1,797003,0.3901,9.4544
